,0
0,3.351235836340615e-05
1,2.2859471787585567e-05
2,0.9996114816102621
3,2.6663498627378403e-06
4,2.548570692635582e-06
5,3.3811939216512622e-06
6,9.024734453197756e-06
7,0.0004640914809284316
8,0.0015236459298753895
9,0.06983156237599793
10,0.3425657415374205
11,0.3504464358886926
12,0.16540481587815423
13,0.05189513959685143
14,0.013698527027662697
15,0.0034090345729936924
16,0.000846942858724959
17,0.00021746632398027393
18,5.8599094850020185e-05
19,1.6816594895141797e-05
20,5.173827156760918e-06
21,1.7363104558319212e-06
22,6.469594326444716e-07
23,2.773635942814481e-07
24,1.4365436379136718e-07
25,9.351473879670465e-08
26,7.687648593491278e-08
27,7.683631333497726e-08
28,8.891319312167728e-08
29,1.1564343240964971e-07
30,1.6703159131125351e-07
31,2.6773655631333743e-07
32,4.793397223739051e-07
33,9.72455474270886e-07
34,2.2888980631113697e-06
35,6.512714819843585e-06
36,0.9999926366395036
37,7.372817719798953e-09
38,1.6576605218297027e-08
39,4.035022246314239e-08
40,1.0793168457787962e-07
41,3.229373458620679e-07
42,1.108392958682389e-06
43,4.5761645050048186e-06
44,1.0000000003454002
45,5.129388101744669e-10
46,7.805634815823582e-10
47,1.2170404774386917e-09
48,1.9531213043955422e-09
49,7.301388019102293e-06
50,5.161087060697871e-09
51,8.766589359386654e-09
52,1.5238926388201736e-08
53,2.7117859510493932e-08
54,4.941903721639481e-08
55,9.22657395209494e-08
56,1.7513663231513284e-07
57,3.343551661160201e-07
58,5.10817833882186e-07
59,7.661730503387335e-07
60,1.0528474212400844e-06
61,1.3251173063762539e-06
62,1.5276162896266215e-06
63,1.6141722248155222e-06
64,1.5628826282587455e-06
65,1.3893013391033849e-06
66,1.1369751929423893e-06
67,8.798301270913041e-07
68,6.604700277346773e-07
69,4.833568647785444e-07
70,3.450581238559447e-07
71,2.4040436596052193e-07
72,1.6355284585984096e-07
73,1.0871550087961012e-07
74,7.064899735863362e-08
75,4.4913451059723e-08
76,2.7950422466198435e-08
77,1.703876242682453e-08
78,1.0181971407219555e-08
79,5.968790985869735e-09
