,0
0,2.381828209322788e-05
1,1.7077385422862897e-06
2,1.287075105332483e-07
3,1.0313567029719218e-08
4,8.774429686039725e-10
5,7.893217556956966e-11
6,7.474852485074418e-12
7,7.421459441301438e-13
8,7.697225606287783e-14
9,8.312834011892844e-15
10,9.322160350613828e-16
11,1.0828448172654515e-16
12,1.3000284425989303e-17
13,1.6100431671920965e-18
14,2.0533913619818503e-19
15,2.6926771499380966e-20
16,3.6255204625905584e-21
17,5.005903469731056e-22
18,7.079830689795578e-23
19,3.0867490833189943e-27
20,1.783027903483079e-28
21,1.2032967530389246e-29
22,9.088429681762218e-31
23,7.476847916387464e-32
24,6.575288753198796e-33
25,6.097016374457773e-34
26,5.899354667371509e-35
27,5.90736612705207e-36
28,6.080345610826318e-37
29,6.394466227752147e-38
30,6.832047542067342e-39
31,7.372036621312719e-40
32,7.977739213425773e-41
33,8.578344588266999e-42
34,9.037629053022019e-43
35,9.099849575718395e-44
36,8.29494132884722e-45
37,5.772184850808768e-46
38,7.206782890724445e-50
39,4.726991605827599e-51
40,3.5383769211106756e-52
41,2.19178093540668e-53
42,1.950756060115764e-54
43,1.8035284612310915e-55
44,1.7136703190873425e-56
45,1.6597812297326857e-57
46,1.627343016607097e-58
47,1.6047583883283054e-59
48,1.5810574994158953e-60
49,1.5444298921473055e-61
50,1.4812887572877592e-62
51,1.3760794035364012e-63
52,1.2121975691161442e-64
53,9.756685602518498e-66
54,6.640672201951989e-67
55,3.0592829304024273e-68
56,1.0933793244536973e-71
57,7.824141821637208e-73
58,6.048468403266914e-74
59,4.828347937552623e-75
60,4.3412730415951707e-76
61,3.987166812468639e-77
62,3.7088219453885083e-78
63,3.470062985077143e-79
64,3.2451858597004893e-80
65,3.014125398695329e-81
66,2.7604366685745624e-82
67,2.471061919239558e-83
68,2.137230787121104e-84
69,1.7565568586015073e-85
70,1.337153354831942e-86
71,9.019102534990091e-88
72,4.9298399119626395e-89
73,1.7129328057718524e-90
74,1.803622305717077e-93
75,2.2533567297026146e-94
76,1.767353673855419e-95
77,1.4674729321410237e-96
78,1.2693491939142897e-97
79,1.1461952165420407e-98
80,1.0429454660882664e-99
81,9.501273074574425e-101
82,8.615819729361257e-102
83,7.731868018712982e-103
84,6.822658950088965e-104
85,5.8750570495924466e-105
86,4.8895096287878795e-106
87,3.8822129902152766e-107
88,2.8865223714247055e-108
89,1.953115150327829e-109
90,1.1457691694585543e-110
91,5.301595423445698e-112
92,1.5206856421970872e-113
93,5.871957794886569e-116
94,5.523954564615029e-117
95,4.599151224684813e-118
96,3.9667877979155285e-119
97,3.499167719263762e-120
98,3.1276038037971427e-121
99,2.7904431542142586e-122
100,2.472062576736898e-123
101,2.1631294934536932e-124
102,1.8589643742300433e-125
103,1.5587878257301953e-126
104,1.265135243927672e-127
105,9.835782696097714e-129
106,7.223238850742872e-130
107,4.911560403921922e-131
108,2.9998256685264365e-132
109,1.5653346067200226e-133
110,6.358550786634249e-135
111,1.637351415100116e-136
112,1.785866007763452e-138
113,1.576291131417824e-139
114,1.3505540354830506e-140
115,1.1774266365535706e-141
116,1.0342825317738109e-142
117,9.079474646846086e-144
118,7.90246037577605e-145
119,6.787081630481391e-146
120,5.722941967178844e-147
121,4.7110872173544645e-148
122,3.7606025308606323e-149
123,2.8862469599896097e-150
124,2.106897831338503e-151
125,1.4414011672451627e-152
126,9.052709258625362e-154
127,5.0612729521825094e-155
128,2.400088867786863e-156
129,8.914283005805583e-158
130,2.3271083709593007e-159
131,5.917216558894107e-161
132,5.145572461807723e-162
133,4.4434898305424956e-163
134,3.8566491632875135e-164
135,3.33983589438096e-165
136,2.868418420988004e-166
137,2.4298964184445476e-167
138,2.0212733963711125e-168
139,1.642858088462641e-169
140,1.2972145999443437e-170
141,9.881822902518e-172
142,7.198972291806586e-173
143,4.959637836620638e-174
144,3.1833431660765417e-175
145,1.8647407151667203e-176
146,9.683840616138395e-178
147,4.2810392510192776e-179
148,1.5410995027023998e-180
149,4.785990432678248e-182
150,2.21247511863072e-183
151,1.9109089520685324e-184
152,1.643502749817248e-185
153,1.409075148167337e-186
154,1.19773083856078e-187
155,1.0046267976160175e-188
156,8.277509916832482e-190
157,6.670709045720431e-191
158,5.231886199234123e-192
159,3.97039778398291e-193
160,2.894644910821258e-194
161,2.0096237810414955e-195
162,1.31371082756734e-196
163,7.969259800525117e-198
164,4.401842347317585e-199
165,2.162101406398568e-200
166,9.23900811269635e-202
167,3.506049646066875e-203
168,1.456687303302635e-204
169,9.446681174362288e-206
170,8.093144986515917e-207
171,6.888126347031629e-208
172,5.811635032878834e-209
173,4.839978722896118e-210
174,3.962486292485222e-211
175,3.176314464703873e-212
176,2.4821704022299052e-213
177,1.8816283382320957e-214
178,1.37556365035752e-215
179,9.629119466866875e-217
180,6.397940907627876e-218
181,3.9922021984875554e-219
182,2.308713271662831e-220
183,1.2191837885425836e-221
184,5.809503921356998e-223
185,2.5271878992235757e-224
186,1.1068505677464241e-225
187,6.1273241332797475e-227
188,4.640813743230153e-228
189,3.9339637573848714e-229
190,3.302468603903612e-230
191,2.73738811732405e-231
192,2.2323215584904678e-232
193,1.7843903276834754e-233
194,1.392626684286201e-234
195,1.0567829276685595e-235
196,7.7577532932982e-237
197,5.477965655651476e-238
198,3.695097504065354e-239
199,2.361500229167977e-240
200,1.4164954472612497e-241
201,7.896222098969629e-243
202,4.063662265587776e-244
203,1.9467236448134114e-245
204,9.169887699470779e-247
205,4.865240108870308e-248
206,3.2858949591972643e-249
207,2.6426451286657452e-250
208,2.2124943325419687e-251
209,1.8290500832620217e-252
210,1.4887542618139743e-253
211,1.1889799459889448e-254
212,9.285350843300066e-256
213,7.06449264720619e-257
214,5.214294041877876e-258
215,3.7156257032834204e-259
216,2.5421003215160423e-260
217,1.6593373574947462e-261
218,1.0261530712656583e-262
219,5.971645238839118e-264
220,3.2578496952926804e-265
221,1.677303490514858e-266
222,8.438181213173477e-268
223,4.514904926024991e-269
224,2.8520771361872564e-270
225,2.1470683189324083e-271
226,1.7579195679714538e-272
227,1.4520719613106493e-273
228,1.1816353339284815e-274
229,9.444423673442826e-276
230,7.391724066110046e-277
231,5.646102147296006e-278
232,4.193757981880998e-279
233,3.0170198963507543e-280
234,2.0925545097591498e-281
235,1.39241625395731e-282
236,8.841067004227101e-284
237,5.3321197910478906e-285
238,3.0478918043391142e-286
239,1.6605277505295763e-287
240,8.832810680725318e-289
241,4.852961591956631e-290
242,2.9802801168786025e-291
243,2.124806265698289e-292
244,1.6813002878264817e-293
245,1.3769822431800082e-294
246,1.121922193080713e-295
247,8.986345513344908e-297
248,7.057670373854466e-298
249,5.418003136316486e-299
250,4.053282574606984e-300
251,2.9449502942023574e-301
252,2.0700215354812591e-302
253,1.4021578564106182e-303
254,9.115803301710572e-305
255,5.6687555035840773e-306
256,3.3685170395947013e-307
257,1.922141558230017e-308
258,1.071977126307764e-309
259,6.0772612796434e-311
260,3.714280280707e-312
261,2.55508440365e-313
262,1.9527856703e-314
263,1.57420373e-315
264,1.2804982e-316
265,1.029172e-317
266,8.119e-319
267,6.27e-320
268,4.73e-321
269,3.46e-322
270,2.5e-323
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
