,Search_direction,Cost_function,Penalty,K,AE,MeanTime,Percision,Recall,F1,RI,CPs
0,WIN,ar,60,23,6,245.45454545454547,0.4090909090909091,0.5625,0.47368421052631576,0.9410456112333665,"[ 5745  5890  6110  6280  6345  6425  6670  8010  8405  8480  9230 10405
 11215 11670 11985 12150 12410 12490 12610 12755 12890 13020 14401]"
1,WIN,ar,61,23,6,245.45454545454547,0.4090909090909091,0.5625,0.47368421052631576,0.9410456112333665,"[ 5745  5890  6110  6280  6345  6425  6670  8010  8405  8480  9230 10405
 11215 11670 11985 12150 12410 12490 12610 12755 12890 13020 14401]"
2,WIN,ar,62,23,6,245.45454545454547,0.4090909090909091,0.5625,0.47368421052631576,0.9410456112333665,"[ 5745  5890  6110  6280  6345  6425  6670  8010  8405  8480  9230 10405
 11215 11670 11985 12150 12410 12490 12610 12755 12890 13020 14401]"
3,WIN,ar,63,23,6,245.45454545454547,0.4090909090909091,0.5625,0.47368421052631576,0.9410456112333665,"[ 5745  5890  6110  6280  6345  6425  6670  8010  8405  8480  9230 10405
 11215 11670 11985 12150 12410 12490 12610 12755 12890 13020 14401]"
4,WIN,ar,64,23,6,245.45454545454547,0.4090909090909091,0.5625,0.47368421052631576,0.9410456112333665,"[ 5745  5890  6110  6280  6345  6425  6670  8010  8405  8480  9230 10405
 11215 11670 11985 12150 12410 12490 12610 12755 12890 13020 14401]"
5,WIN,ar,65,9,8,170.25,0.5,0.25,0.3333333333333333,0.924744644239493,[ 6345  6425  8010  8405  9230 11985 12410 12490 14401]
6,WIN,ar,66,9,8,170.25,0.5,0.25,0.3333333333333333,0.924744644239493,[ 6345  6425  8010  8405  9230 11985 12410 12490 14401]
7,WIN,ar,67,9,8,170.25,0.5,0.25,0.3333333333333333,0.924744644239493,[ 6345  6425  8010  8405  9230 11985 12410 12490 14401]
8,WIN,ar,68,9,8,170.25,0.5,0.25,0.3333333333333333,0.924744644239493,[ 6345  6425  8010  8405  9230 11985 12410 12490 14401]
9,WIN,ar,69,9,8,170.25,0.5,0.25,0.3333333333333333,0.924744644239493,[ 6345  6425  8010  8405  9230 11985 12410 12490 14401]
