,Air In1,Air In2,Water In1,Water In2
0,6.516900715320973e-06,0.0019617580408316034,7.467079639795186e-05,0.998839551951597
1,1.1567558281580094e-05,0.0008728348367167545,1.4740849540753186e-05,1.8470769104775117e-07
2,3.4538712628423455e-05,0.0008001884967311374,3.466597659597255e-06,1.626811314020812e-07
3,0.00018105348351190196,0.004144779106106005,9.314865315052782e-07,1.8417543406496328e-07
4,0.0031271112348657615,0.05583227276882885,2.789214100897308e-07,2.725274312082694e-07
5,0.009946293894255444,0.939254540430408,9.15385688324293e-08,0.0011497103014465714
6,0.004208857648894271,1.4611230189533443e-05,3.2388421267632484e-08,4.11997739993791e-10
7,0.0034324279990463665,0.00021419657697581686,1.2724345169113466e-08,5.65114273791262e-10
8,0.6960810601526133,0.00014222522927521974,5.24553230842108e-09,9.292862363770932e-10
9,0.285676626224127,0.00011365662583474519,2.274370875551015e-09,1.899642601484305e-09
10,0.014677333994460202,0.00011031346311459622,1.0398332854362499e-09,1.0658018027351886e-05
11,0.0007742384041427164,0.00015284005352388954,4.995586239338262e-10,5.5648946092679e-12
12,8.424809995840066e-05,0.00016771445759693272,2.5146221436216084e-10,9.617617821963023e-12
13,1.4516338367554573e-05,0.00022875345513756904,1.323015670419343e-10,1.9536251877815913e-11
14,3.3906816652523873e-06,9.13464486779988e-05,7.260476189111537e-11,4.8517159638440427e-11
15,7.755785398279504e-07,0.0001476945285039613,4.148629398369869e-11,3.260090131959679e-07
16,1.826802634627733e-07,1.6542867771586903e-05,2.4644618909117235e-11,2.2918657539401353e-13
17,4.5961822317790735e-08,5.489321796849809e-05,1.520006293052441e-11,4.635723477139062e-13
18,1.2556746118146448e-08,0.00028046649952696146,9.722498749276444e-12,1.0918063832671245e-12
19,3.6967288307799754e-09,0.00013399625048049753,6.442992107052245e-12,3.1178345249638517e-12
20,1.1454389585802006e-09,0.00010247253559900885,4.422114985126325e-12,2.3909790603147233e-08
21,3.726776039654756e-10,0.00013142100078147235,3.1421641084214858e-12,2.1833711196933667e-14
22,1.276602354400107e-10,0.0001352092971123881,2.3064697604409114e-12,4.9802525410105207e-14
23,4.6192392392868174e-11,0.00017973354557119159,1.7486823047990887e-12,1.3153414947095173e-13
24,1.7469805034180847e-11,0.00023475488276631276,1.3686204018153314e-12,4.19067908426226e-13
25,6.938068007137709e-12,0.00015542307761142864,1.1052532439449487e-12,3.5694478802696675e-09
26,2.883405509232826e-12,0.0001786781827207765,9.206094365534723e-13,2.8258206216817668e-15
27,1.2473376640300859e-12,0.00015674766009269388,7.907745045002893e-13,7.108374694169726e-15
28,5.587444885679093e-13,4.7223050358724615e-05,7.004128290634382e-13,2.05834649130242e-14
29,2.597566188224456e-13,0.00018189629215813904,6.39410219950296e-13,7.127400883128777e-14
30,1.2537144811031198e-13,0.0001702031554041208,6.015137041010085e-13,6.52788506563978e-10
31,6.234008473440243e-14,0.0001872052581106873,5.830569162555847e-13,5.885859521576756e-16
32,3.1926801563648896e-14,0.00026851617014051604,5.823180059118043e-13,1.7470895820169839e-15
33,1.6853850049468423e-14,0.0002103018742772228,5.992296243368779e-13,6.1573961385464245e-15
34,9.163882191658658e-15,0.0003020910736660118,6.353790117663721e-13,5.725173725553487e-11
35,5.115408048722477e-15,0.00027208971686076025,6.942553201285648e-13,2.2727033653206356e-16
36,3.0334769860609764e-15,0.00042013102434041854,7.818220926688819e-13,8.095331235950685e-16
37,1.853898802689972e-15,1.7032747786606445e-06,9.075808099467696e-13,7.495258639078485e-12
38,1.1321285523061232e-15,0.00042273856398106224,1.086452997876757e-12,2.0378897357318449e-16
39,7.021183504875068e-16,0.0003831960054112724,1.341595452533603e-12,1.8975804339392083e-12
40,4.452275879191722e-16,0.00014085931055330433,1.7099496989831311e-12,5.2366393534411664e-17
41,2.9002954604462675e-16,0.0006981112381018127,2.249679090117509e-12,4.961190840954802e-13
42,1.9406345697963807e-16,0.0005226369100891314,3.056713491836666e-12,1.614021685516931e-17
43,1.348692554958639e-16,0.00032663601115660683,4.292260775235032e-12,1.374749314337822e-13
44,9.425689969247626e-17,0.00025185823696336206,6.233586521524023e-12,7.392838353086245e-14
45,6.752002013185838e-17,0.00023470257552436185,9.370524309749893e-12,4.031422728631288e-14
46,4.963571303345062e-17,0.00018067290591275548,1.4593811776071088e-11,2.2288234062721628e-14
47,3.7378212924936016e-17,0.0003519929342824491,2.3602158641754908e-11,1.2490466414729923e-14
48,2.8741237500979616e-17,0.0004471748229463328,3.964793933556727e-11,7.093935688446188e-15
49,2.2564277969910424e-17,0.00036567074090946915,6.927799085935311e-11,4.082493668543851e-15
50,1.8142835046796827e-17,0.0002815687464828069,1.2612500999222092e-10,2.3802440021124826e-15
51,1.4927537320110593e-17,0.0003361557122275972,2.396954235917845e-10,1.4057458919555426e-15
52,1.2546554869335484e-17,0.00012444444729719874,4.766007757094951e-10,8.408465328040965e-16
53,1.0784786907199491e-17,0.0007084693598496669,9.939043111894924e-10,5.093188014029211e-16
54,9.465136062130156e-18,0.0004650182809608162,2.1807077232600348e-09,3.123685815910223e-16
55,8.562319532495501e-18,0.00034817186281493206,5.052316459412271e-09,1.9395198019477823e-16
56,7.870545473403054e-18,0.009718801419295348,1.241462308165409e-08,1.2190393098465152e-16
57,7.38609630744342e-18,0.004406731884843276,3.252958914553732e-08,7.755108633630296e-17
58,6.8590163178771896e-18,0.0026136224852225287,9.1513591678909e-08,4.992951616466862e-17
59,7.061805237386417e-18,0.1302997874491354,2.788576860198837e-07,3.252978337599886e-17
60,7.21186504571153e-18,0.04294352841956165,9.313223854010685e-07,2.1449044816882453e-17
61,7.408586371905599e-18,0.004195196244062079,3.4661924856176786e-06,1.4321527831243674e-17
62,7.772487197095784e-18,0.0020223813766610164,1.4740103320166646e-05,9.683102510113295e-18
63,8.303220232952618e-18,0.006273933873596645,7.467206209119241e-05,6.628941257217546e-18
64,9.054321974536072e-18,0.0668180451259916,1.0000000000096612,4.594523332277205e-18
65,1.008536896917409e-17,0.12547362485966868,2.366476977857089e-21,3.223796611593143e-18
66,1.165732374701516e-17,0.0027880044178826037,3.1953606165731706e-25,4.899385921153403e-22
67,1.3664607121187048e-17,0.0010023692110846514,9.933948139314664e-26,2.1441218386327262e-22
68,1.612294446703739e-17,0.00187867690291855,3.701885633399725e-26,1.3400660818278726e-22
69,1.963841205812171e-17,0.0011858517137553674,1.5892897416472668e-26,9.424697819946212e-23
70,2.484535933026284e-17,0.002536563454332513,7.676971036927271e-27,6.907121836689074e-23
71,3.189289074875133e-17,0.003098916327879027,4.108641423206236e-27,5.1657790609052706e-23
72,4.202606092866785e-17,0.0036533783349786022,2.4105162557860553e-27,3.872288866990552e-23
73,5.698418060022543e-17,0.00512272194376832,1.5385298945696586e-27,2.975986453907942e-23
74,7.967236136142002e-17,0.007362200774148015,1.0621435554081158e-27,2.3152756410881177e-23
75,1.1442829640956352e-16,0.009067400885473793,7.897731242233566e-28,1.8228187356264183e-23
76,1.706869795606645e-16,0.01489772410165769,6.30528866944975e-28,1.452123382470044e-23
77,2.620153195017827e-16,0.01854237923623671,5.392825964597617e-28,1.1221248791577017e-23
78,4.1345382632352395e-16,0.022720721647809267,4.933890795750519e-28,9.151141427996847e-24
79,6.742112132196448e-16,0.033422371471075574,4.824385554840172e-28,7.55181456334519e-24
80,1.1569376248987145e-15,0.0478667727378727,5.040222661695432e-28,6.30471754840254e-24
81,1.9753547424598466e-15,0.007325895325906468,5.628056959505664e-28,5.324919854203692e-24
82,3.703175075730042e-15,3.5323742109983614e-06,6.723272990922288e-28,4.550039152255528e-24
83,7.119369191625679e-15,0.0004953442975164759,8.606182609135507e-28,3.26264834888691e-24
84,1.4209868604679533e-14,0.0006099264767183849,1.183236723095739e-27,2.854689480825383e-24
85,2.949945849981947e-14,0.0005954289337636253,1.7529735815354462e-27,2.5255853007539622e-24
86,6.411467337217238e-14,0.0006518932191408514,2.8109085020221425e-27,2.2616984085538738e-24
87,1.4486358018797456e-13,0.0009257242466748392,4.907721682818415e-27,2.049025057160004e-24
88,3.4221659840499533e-13,0.0007384457954103435,9.404573016221703e-27,1.8779815132009198e-24
89,8.413758016603676e-13,0.00015234856672978665,1.9999703272442076e-26,1.7412793027003658e-24
90,2.1670295796247443e-12,0.0004219430676978928,4.795677643482453e-26,1.6333414272865358e-24
91,5.834450830519616e-12,0.0004954215468401624,1.3286722937372966e-25,1.5499650236352625e-24
92,1.6412510514163364e-11,0.0006234189753199992,4.431323148798576e-25,1.488017943871676e-24
93,4.858551920366664e-11,0.0008501640937106572,3.944744375207552e-21,1.4452260751334541e-24
94,1.5068713941710795e-10,8.462741443181267e-07,8.615579279519071e-35,1.420080754694432e-24
95,4.959066377468259e-10,0.00010341764608953139,1.257821575479734e-34,1.4117188418406434e-24
96,1.7367354111633739e-09,0.0003802277328130175,1.9337582669310256e-34,1.4198678430656618e-24
97,6.5156475649998264e-09,0.00043491439064727815,3.1377232982216765e-34,1.4448588808095209e-24
98,2.6452919907887572e-08,0.00027993744882373486,5.388432831362048e-34,1.4876097620803085e-24
99,1.1874719589283794e-07,0.0002085163450392047,9.826756073704954e-34,1.549721282237529e-24
100,5.907154494303514e-07,0.0001951413668642014,1.9109104989130482e-33,1.6335437172797185e-24
101,3.31366694274903e-06,0.00012903116347640873,3.982778920017305e-33,1.742350092675111e-24
102,2.129154081440126e-05,0.00013150262513584644,8.956199401363942e-33,1.8805683279907206e-24
103,0.00017295041605641255,0.00044458275616033363,2.1917140543095774e-32,2.0540220415508986e-24
104,0.004240395300776637,0.0006949784909840442,5.905310427698326e-32,2.270413216151688e-24
105,0.9955656053259718,0.0006523341203572952,1.7808502473011185e-31,2.539852039519934e-24
106,0.0024472056968084495,0.0005119241611299186,6.162065787393563e-31,2.8756795128723677e-24
107,0.00753774597128544,0.0003226262729686037,2.5502396912395456e-30,3.2955100597588626e-24
108,0.0035602736754481055,0.0007098279417461589,2.801109749143311e-26,3.822813012686417e-24
109,0.0011679899527692096,0.00043323167699889007,8.375070000964862e-37,4.4889515678453746e-24
110,0.00038628188313001685,0.0003277181337914156,1.8417966404175775e-36,5.336334238755965e-24
111,0.00013927128983109115,0.00029056075486051235,4.328573396717008e-36,6.422496481947041e-24
112,5.530709801227599e-05,0.0002448546255247559,1.094519490201141e-35,7.826404037285256e-24
113,2.4453905004772905e-05,0.00013716218653813636,3.003804472043752e-35,9.657091723703322e-24
114,1.1902828087723102e-05,0.00015208377255520564,9.052780035737537e-35,1.2066951505868424e-23
115,6.299966259648155e-06,8.926093527748494e-05,3.0461256782593763e-34,1.527046793144446e-23
116,3.4234217127955745e-06,0.0001751166542127983,1.1732506028002153e-33,1.9572761643788365e-23
