,Search_direction,Cost_function,Penalty,K,AE,MeanTime,Percision,Recall,F1,RI,CPs
0,WIN,l1,550,25,8,207.75,0.5,0.75,0.6,0.9633759587625949,"[  105  2145  2655  3010  3015  4095  4100  4765  5590  6425  6670  6675
  7995  8000  8520  9055 10695 11205 11220 12470 12500 12560 12895 13725
 14401]"
1,WIN,l1,551,25,8,207.75,0.5,0.75,0.6,0.9633759587625949,"[  105  2145  2655  3010  3015  4095  4100  4765  5590  6425  6670  6675
  7995  8000  8520  9055 10695 11205 11220 12470 12500 12560 12895 13725
 14401]"
2,WIN,l1,552,25,8,207.75,0.5,0.75,0.6,0.9633759587625949,"[  105  2145  2655  3010  3015  4095  4100  4765  5590  6425  6670  6675
  7995  8000  8520  9055 10695 11205 11220 12470 12500 12560 12895 13725
 14401]"
3,WIN,l1,553,10,7,106.55555555555556,0.7777777777777778,0.4375,0.56,0.9026717744513119,[ 3015  4095  6425  6675  7995 11220 12500 12560 12895 14401]
4,WIN,l1,554,10,7,106.55555555555556,0.7777777777777778,0.4375,0.56,0.9026717744513119,[ 3015  4095  6425  6675  7995 11220 12500 12560 12895 14401]
5,WIN,l1,555,10,7,106.55555555555556,0.7777777777777778,0.4375,0.56,0.9026717744513119,[ 3015  4095  6425  6675  7995 11220 12500 12560 12895 14401]
6,WIN,l1,556,10,7,106.55555555555556,0.7777777777777778,0.4375,0.56,0.9026717744513119,[ 3015  4095  6425  6675  7995 11220 12500 12560 12895 14401]
7,WIN,l1,557,10,7,106.55555555555556,0.7777777777777778,0.4375,0.56,0.9026717744513119,[ 3015  4095  6425  6675  7995 11220 12500 12560 12895 14401]
8,WIN,l1,558,10,7,106.55555555555556,0.7777777777777778,0.4375,0.56,0.9026717744513119,[ 3015  4095  6425  6675  7995 11220 12500 12560 12895 14401]
9,WIN,l1,559,10,7,106.55555555555556,0.7777777777777778,0.4375,0.56,0.9026717744513119,[ 3015  4095  6425  6675  7995 11220 12500 12560 12895 14401]
