,Search_direction,Cost_function,Penalty,K,AE,MeanTime,Percision,Recall,F1,RI,CPs
0,PELT,lasso,10000,18,1,204.94117647058823,0.6470588235294118,0.6875,0.6666666666666667,0.9679149984574142,"[  195  2140  3010  3015  4095  4100  4775  5590  6675  7995  8010  9090
 10700 11210 11215 12485 13725 14401]"
1,PELT,lasso,11000,18,1,204.94117647058823,0.6470588235294118,0.6875,0.6666666666666667,0.9679149984574142,"[  195  2140  3010  3015  4095  4100  4775  5590  6675  7995  8010  9090
 10700 11210 11215 12485 13725 14401]"
2,PELT,lasso,12000,17,0,216.5625,0.625,0.625,0.625,0.9627785880299293,"[  195  2140  3010  3015  4095  4100  5615  6675  7995  8010  9090 10700
 11210 11215 12485 13725 14401]"
3,PELT,lasso,13000,15,2,247.0,0.6428571428571429,0.5625,0.6000000000000001,0.9569972536752358,"[  195  2140  3010  3015  4095  4100  5615  6675  7995  8010  9425 11215
 12485 13725 14401]"
4,PELT,lasso,14000,15,2,247.0,0.6428571428571429,0.5625,0.6000000000000001,0.9569972536752358,"[  195  2140  3010  3015  4095  4100  5615  6675  7995  8010  9425 11215
 12485 13725 14401]"
5,PELT,lasso,15000,15,2,247.0,0.6428571428571429,0.5625,0.6000000000000001,0.9569972536752358,"[  195  2140  3010  3015  4095  4100  5615  6675  7995  8010  9425 11215
 12485 13725 14401]"
6,PELT,lasso,16000,15,2,247.0,0.6428571428571429,0.5625,0.6000000000000001,0.9569972536752358,"[  195  2140  3010  3015  4095  4100  5615  6675  7995  8010  9425 11215
 12485 13725 14401]"
7,PELT,lasso,17000,14,3,167.84615384615384,0.6153846153846154,0.5,0.5517241379310345,0.9432557884357506,"[  195  2140  3010  3015  4095  4100  5615  6675  7995  8010  9430 11215
 11230 14401]"
8,PELT,lasso,18000,13,4,20.666666666666668,0.6666666666666666,0.5,0.5714285714285715,0.9254342668194508,"[ 2140  3010  3015  4095  4100  5615  6675  7995  8010  9430 11215 11230
 14401]"
9,PELT,lasso,19000,13,4,20.666666666666668,0.6666666666666666,0.5,0.5714285714285715,0.9254342668194508,"[ 2140  3010  3015  4095  4100  5615  6675  7995  8010  9430 11215 11230
 14401]"
