,Search_direction,Cost_function,Penalty,K,AE,MeanTime,Percision,Recall,F1,RI,CPs
0,WIN,lasso,6000,21,4,216.7,0.55,0.6875,0.6111111111111112,0.967708883181209,"[   80  2125  2635  2990  3010  3045  4070  4075  4740  5570  6705  7970
  7975  8500  9030 10675 11180 12440 12580 13725 14401]"
1,WIN,lasso,6100,21,4,216.7,0.55,0.6875,0.6111111111111112,0.967708883181209,"[   80  2125  2635  2990  3010  3045  4070  4075  4740  5570  6705  7970
  7975  8500  9030 10675 11180 12440 12580 13725 14401]"
2,WIN,lasso,6200,18,1,244.0,0.5882352941176471,0.625,0.6060606060606061,0.9556686477009914,"[   80  2125  2635  3010  3045  4070  4075  4740  5570  7970  7975  8500
  9030 10675 11180 12440 13725 14401]"
3,WIN,lasso,6300,18,1,244.0,0.5882352941176471,0.625,0.6060606060606061,0.9556686477009914,"[   80  2125  2635  3010  3045  4070  4075  4740  5570  7970  7975  8500
  9030 10675 11180 12440 13725 14401]"
4,WIN,lasso,6400,18,1,244.0,0.5882352941176471,0.625,0.6060606060606061,0.9556686477009914,"[   80  2125  2635  3010  3045  4070  4075  4740  5570  7970  7975  8500
  9030 10675 11180 12440 13725 14401]"
5,WIN,lasso,6500,18,1,244.0,0.5882352941176471,0.625,0.6060606060606061,0.9556686477009914,"[   80  2125  2635  3010  3045  4070  4075  4740  5570  7970  7975  8500
  9030 10675 11180 12440 13725 14401]"
6,WIN,lasso,6600,18,1,244.0,0.5882352941176471,0.625,0.6060606060606061,0.9556686477009914,"[   80  2125  2635  3010  3045  4070  4075  4740  5570  7970  7975  8500
  9030 10675 11180 12440 13725 14401]"
7,WIN,lasso,6700,18,1,244.0,0.5882352941176471,0.625,0.6060606060606061,0.9556686477009914,"[   80  2125  2635  3010  3045  4070  4075  4740  5570  7970  7975  8500
  9030 10675 11180 12440 13725 14401]"
8,WIN,lasso,6800,18,1,244.0,0.5882352941176471,0.625,0.6060606060606061,0.9556686477009914,"[   80  2125  2635  3010  3045  4070  4075  4740  5570  7970  7975  8500
  9030 10675 11180 12440 13725 14401]"
9,WIN,lasso,6900,18,1,244.0,0.5882352941176471,0.625,0.6060606060606061,0.9556686477009914,"[   80  2125  2635  3010  3045  4070  4075  4740  5570  7970  7975  8500
  9030 10675 11180 12440 13725 14401]"
